NO.1,NO.2,diff-correlation
62,227,10.3846,
62,229,7.68657,
62,231,5.67917,
62,235,55.9761,
62,239,16.5208,
62,245,10.9856,
62,260,14.1377,
62,272,14.5873,
62,273,6.91049,
62,282,16.4471,
62,294,5.62601,
62,309,6.42417,
62,310,8.90498,
62,318,17.5869,
62,324,6.8056,
62,326,19.783,
62,331,7.04449,
62,341,11.5727,
62,342,8.02053,
62,349,37.236,
62,359,5.89128,
62,381,5.01408,
63,105,5.10201,
63,113,7.56504,
63,130,5.08893,
63,159,7.21537,
63,181,40.5428,
63,183,50.101,
63,201,14.9998,
63,388,29.8721,
64,119,11.6554,
64,141,8.76042,
64,147,7.53794,
64,188,9.84054,
64,205,6.85849,
64,206,5.42516,
64,207,7.35507,
64,219,38.4244,
64,220,20.28,
64,231,28.6216,
64,234,68.1821,
64,252,6.71001,
64,264,286.495,
64,270,24.2939,
64,284,13.3437,
64,285,14.1544,
64,292,38.3066,
64,318,9.68952,
64,333,29.7105,
64,336,65.2782,
64,348,10.9639,
64,354,5.85982,
64,356,9.06491,
64,360,5.34111,
64,378,10.595,
64,380,10.3104,
64,383,8.93206,
65,74,16.0967,
65,76,34.5042,
65,81,15.9389,
65,84,63.1653,
65,85,27.8609,
65,93,6.92078,
65,94,42.6598,
65,95,104.192,
65,118,7.55499,
65,126,5.65039,
65,133,45.9093,
65,164,12.1167,
65,190,254.248,
65,196,13.3444,
65,203,38.3207,
65,221,5.66976,
65,225,20.5685,
65,229,5.2178,
65,235,11.614,
65,237,10.1966,
65,260,13.872,
65,267,70.0011,
